diseigner ,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html
price,5
,
,
item,"LattePanda IOTA Palm-sized x86 Single Board Computer (Intel N150, 8GB RAM / 64GB eMMC) + heatsink"
quantity ,1
diseigner ,https://www.dfrobot.com/product-2989.html
price,141
,
item,pcb
quantity ,1
diseigner ,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
price,44
,
item,soldering mat
quantity ,1
diseigner ,https://tr.aliexpress.com/item/1005009200963967.html?spm=a2g0o.productlist.main.11.2f2b4abbK9ZiRY&algo_pvid=d778c1e6-fb4b-46bd-9b9a-0b358a56187e&algo_exp_id=d778c1e6-fb4b-46bd-9b9a-0b358a56187e-10&pdp_ext_f=%7B%22order%22%3A%22302%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%217.60%217.60%21%21%218.65%218.64%21%4021410daa17880077805367312e1034%2112000048280072352%21sea%21CY%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adbd0eda9%3Bm03_new_user%3A-29895&curPageLogUid=0pnW7QL3MjEg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009200963967%7C_p_origin_prod%3A&_gl=1*dra4d2*_gcl_aw*R0NMLjE3ODQzNzIzNjEuQ2p3S0NBand5T3pTQmhCVEVpd0FteHZKLXR5U1VrbTVjTW5IbFhhVjQxLUNkanJuQ3I5Zmx1ODVITWpJMWhqOHYzRDZ0UEctczhWX2tob0NUVTRRQXZEX0J3RQ..*_gcl_au*MTk3OTk1MTc5LjE3ODIyNTc3NTE.*_ga*MTM1NDM5OTcxNC4xNzgyMjU3NzUx*_ga_VED1YSGNC7*czE3ODgwMDc3ODMkbzIwJGcwJHQxNzg4MDA3NzgzJGo2MCRsMCRoMA..
price,7.60
